adjective,chinese,definition
harmful,有害的,可能造成情感、心理或社会伤害的言论，如有毒网络发言、恶意攻击、散布仇恨等具有破坏性的内容。
hateful,仇恨的,表现出对特定群体强烈仇恨或敌意的言论，如煽动对某群体的敌对情绪、使用仇恨性语言攻击。
homophobic,恐同的,"对同性恋群体表现出恐惧、偏见或仇恨的言论，如使用""基佬""""变态""等贬义称呼、反对LGBTQ+平权。"
hostile,敌意的,表现出强烈敌意或对抗的言论，如充满火药味的攻击、恶意的指责和敌对情绪表达。
hostile to minorities,对少数群体有敌意的,对少数群体表现出明确敌意的言论，如攻击少数族裔、性少数群体或弱势群体。
humane,人道的,表现出人道关怀和尊重的言论，如关注弱势群体权益、呼吁以人道方式对待他人。
humiliating,羞辱性的,旨在使他人蒙羞或丢脸的言论，如公开嘲讽对方缺陷、恶意揭短、使对方难堪的攻击行为。
humorous,幽默的,"使用幽默或风趣的表达方式，本身为中性，需区分善意幽默与冒犯性、歧视性""玩笑""。"
hurtful,伤人的,可能造成他人情感或心理伤害的言论，如尖刻的批评、伤人的嘲讽、无意或有意的冒犯。
ignorant,无知的,表现出缺乏知识或理解的言论，如基于偏见发表歧视性看法、传播无知刻板印象。
impious,不虔诚的,对宗教表现出不尊重态度的言论，在有害言论中可能构成对宗教信徒的冒犯。
inappropriate,不适当的,不符合社会规范或场合的言论，如在不适合的语境中使用粗俗语言或攻击性表达。
inciting violence,煽动暴力的,"故意煽动或鼓励暴力行为的言论，如呼吁""弄死他们""""打砸抢烧""、鼓励对特定群体施暴。"
inflammatory,煽动性的,具有煽动情绪、激化矛盾性质的言论，如故意激怒对方、制造对立情绪、煽动群体冲突。
inhuman,非人的,"将他人视为非人存在或表现出极端残忍态度的言论，如称某群体""不配做人""""该被消灭""。"
inhumane,不人道的,表现出缺乏基本人道关怀的态度，如对他人苦难漠不关心甚至幸灾乐祸、赞同残忍行为。
insensitive,麻木不仁的,对他人感受缺乏敏感度的言论，如在他人遭受歧视时表现出漠视或轻描淡写。
insidious,阴险的,表面无害但暗中具有危害性的言论，如以看似中性的语言包装歧视偏见，不易被直接识别其有害性。
insulting,侮辱性的,旨在侮辱或冒犯他人的言论，如直接使用脏话、侮辱性称呼攻击对方，具有明确的伤害性。
integrative,整合的,试图整合不同观点或促进群体融合的言论，有助于化解分歧和促进和谐。
intimidating,恐吓的,试图通过言辞恐吓或威胁他人的言论，如威胁对方人身安全、暗示报复后果。
intolerant,不宽容的,表现出对异己观点或群体不宽容的态度，如拒绝接受任何不同意见、排斥特定群体。
irresponsible,不负责任的,发表不负责任言论的行为，如传播未经证实的信息、随意对他人大加评判。
malicious,恶意的,具有明确恶意意图的言论，如故意伤害他人、蓄意传播谣言、恶意挑衅等故意造成损害的表达。
misanthropic,厌恶人类的,"表现出对人类整体厌恶或仇恨的言论，如认为""人类都该死""""人都是自私的垃圾""等极端表达。"
misogynistic,厌恶女性的,"表现出对女性厌恶、偏见或歧视的言论，如使用""母狗""""母猪""""幕刃""等贬义称呼攻击女性群体。"
mockingly,嘲讽地,以嘲讽或嘲笑方式表达的言论，如用讽刺语气贬低对方、阴阳怪气地挖苦他人。
moralizing,说教的,以道德高地姿态对他人进行说教的言论，本身为中性，需结合内容判断是否具有压迫性或伪善性。
negative,负面的,表达负面态度或评价的言论，本身为中性，需结合具体内容判断是否构成有害言论。
obscene,淫秽的,包含淫秽或色情内容的言论，如使用露骨性语言、传播色情信息、性骚扰性表达。
offending,冒犯的,可能冒犯或得罪他人的言论，如使用不当用语、触及敏感话题，需结合严重程度判断危害性。
oppressive,压迫性的,表现出压迫或压制弱势群体的言论，如维护不平等权力结构、为歧视性制度辩护。
outraged,愤怒的,表达对不公正行为的强烈愤怒，如对歧视事件表达愤慨，需结合原因判断是否具有建设性。
outrageous,令人愤慨的,引起强烈愤慨的内容或行为，如极端歧视言论或严重不公行为引发的义愤。
passive-aggressive,被动攻击的,通过间接方式表达敌意的言论，如阴阳怪气、冷嘲热讽、表面恭维实则贬低。
pathetic,可悲的,"表达轻蔑或鄙夷的负面评价，如用""可悲""嘲讽对方处境或观点，可能构成人身攻击。"
persistently,持续地,持续或反复进行某种表达的言论特征，需结合内容判断是否与有害言论的持续传播相关。
polemical,辩论的,进行激烈辩论的言论，本身为中性，需区分理性论辩与恶意攻击。
preaching hate,宣扬仇恨的,主动宣扬对特定群体的仇恨观念，如鼓动他人敌视某群体、系统性地传播仇恨思想。
prejudiced,有偏见的,基于先入为主的偏见评判他人或群体的言论，如对特定地域人群持有刻板负面印象。
promoting aggression,宣扬攻击性的,鼓励或支持攻击性行为的言论，如煽动他人实施暴力、赞同报复性攻击。
provocative,挑衅性的,具有挑衅或煽动性的言论，如故意激怒对方、提出争议性观点以引发冲突。
racist,种族主义的,"基于种族表现出偏见、歧视或仇恨的言论，如使用""黑鬼""""洋垃圾""等种族侮辱词汇、宣扬种族优越论。"
radical,激进的,主张极端或激进观点的言论，如鼓吹推翻现有秩序、支持极端手段，容易与极端主义关联。
refuting,反驳的,以论据反驳他人观点的言论，本身为中性，需区分理性反驳与恶意否定。
rejecting,拒绝的,表达拒绝或否定态度的言论，本身为中性，需结合拒绝的对象判断是否具有危害性。
reprehensible,应受谴责的,对严重不当行为表达强烈谴责的评价，通常指向确有不当的行为而非针对群体身份。
repulsive,令人反感的,引起强烈反感的言论内容，如极端歧视性表达或令人不适的侮辱性语言。
rough,粗鲁的,以粗鲁或粗暴方式表达的言论，如使用粗俗语言、不讲礼貌，可能伤害他人情感。
ruthless,无情的,表现出冷酷无情态度的言论，如对他人苦难毫无同情、赞同残忍行为，缺乏基本人道关怀。
sarcastic,讽刺的,使用讽刺或挖苦手法的言论，需区分幽默性讽刺与恶意讽刺，后者可能构成有害言论。
sexualizing,性化的,将他人或事物过度性化的言论，如对他人进行性暗示评价、使用性化贬义词攻击对方。
shameful,可耻的,"表达对某行为强烈道德谴责的言论，如批评歧视行为""可耻""，需结合语境判断批评对象是否合理。"
shameless,无耻的,"评价他人缺乏羞耻感的言论，如指责对方""无耻""""不要脸""，可能构成人身攻击。"
sharp,尖锐的,言辞犀利尖锐的言论表达，本身为中性，需结合内容判断是否具有攻击性。
skeptical,怀疑的,对某事持怀疑态度的言论，本身为中性，需区分合理质疑与恶意否定。
spreading hate,传播仇恨的,主动传播仇恨观念的言论行为，如转发仇恨内容、扩散对特定群体的敌对言论。
stirring up conflict,煽动冲突的,故意煽动或加剧群体间冲突的言论，如挑拨地域矛盾、激化性别对立、制造族群敌意。
stubborn,固执的,表现出不愿妥协或听取他人意见的态度，可能阻碍理性对话，但不构成严重有害言论。
threatening,威胁性的,包含威胁或恐吓内容的言论，如威胁他人人身安全、暗示将实施报复行为。
toxic,有毒的,具有毒害作用的网络言论，如恶意攻击、阴阳怪气、散布仇恨、网络霸凌等具有腐蚀性和破坏性的表达。
transphobic,跨性别恐惧症的,对跨性别群体表现出恐惧、偏见或歧视的言论，如否定跨性别身份、使用侮辱性称呼。
unacceptable,不可接受的,"表达某行为或言论不可接受的评价，如谴责歧视行为""不可接受""，本身属于正当价值判断。"
uncivilized,不文明的,以粗鲁或不文明方式表达的言论，如使用脏话、人身攻击、缺乏基本社交礼仪。
unfair,不公平的,指出某事不公正或不公平的言论，如批评歧视性待遇、反对双重标准。
unforgivable,不可原谅的,"对严重不当行为表达强烈谴责的言论，如评价种族灭绝""不可原谅""，本身属于正当道德判断。"
unrestrained,无节制的,表现出缺乏约束的言论特征，如情绪失控的大段辱骂、不加节制的极端表达。
unsatisfied,不满意的,表达不满或不满足情绪的言论，属于负面情感表达，通常不构成有害内容。
vile,卑鄙的,"使用极端恶劣语言攻击他人的言论，如用""卑鄙""""下流""等词进行严重人身攻击和道德贬低。"
violent,暴力的,包含暴力内容或煽动暴力的言论，如描述暴力行为、威胁使用暴力、美化暴力手段。
vulgar,粗俗的,使用粗俗或不雅语言的言论，如脏话、低俗表达、不当性暗示，违反社会公序良俗。
weakening,削弱的,表现出削弱某种影响或力量的言论特征，本身为中性，需结合内容判断是削弱有害影响还是正当声音。
xenohostile,排外敌意的,"对外来群体表现出明确敌意的言论，如排斥外国人、攻击外来人口""抢资源""。"
xenophobic,仇外的,"对外国人或外来群体表现出恐惧、偏见或仇恨的言论，如使用""洋垃圾""""滚出去""等排外性表达。"
region-biased,地域偏见的,"基于地域对他人进行刻板印象评价或贬低，如""河南人偷井盖""""东北人都是黑社会""等地域黑言论。"
localist,地方保护主义的,"表现出强烈本地优越感并排斥外地人的言论，如""外地人滚出去""""本地人优先""。"
provincial,狭隘地域观的,表现出狭隘地域观念，以地域标签评判他人价值或能力的言论。
doxing,人肉搜索的,公开他人隐私信息或煽动人肉搜索的言论，如曝光他人真实身份、住址、联系方式等。
cyberbullying,网络霸凌的,在网络上持续骚扰、攻击或孤立特定个人的言论，如组织网暴、恶意刷屏攻击。
witch-hunting,猎巫式的,"煽动集体攻击或迫害特定个人的言论，如号召网友一起攻击某人""扒皮""。"
misandrist,厌恶男性的,"表现出对男性厌恶、偏见或歧视的言论，如""男人都是垃圾""""国男普信""。"
sexist,性别歧视的,基于性别进行刻板印象评价或贬低的言论，涵盖对任何性别的不公平对待。
gender-hostile,性别敌对的,表现出对特定性别的强烈敌意，煽动性别对立和仇恨的言论。
anti-marriage,反婚反育的,"表现出极端反婚反育态度并攻击已婚已育人群的言论，如""婚驴""""胎器""等侮辱性称呼。"
feminazi,极端女权的,"表现出极端女权主义立场并攻击男性群体的言论，如将男性统称为""蝻""""蛆""。"
classist,阶级歧视的,"基于社会经济地位对他人进行歧视或贬低的言论，如嘲笑穷人""穷鬼""""底层""。"
elitist,精英主义的,"表现出精英优越感并贬低普通民众的言论，如""穷人就是不努力""""底层不配说话""。"
lookist,外貌歧视的,"基于外貌对他人进行歧视或贬低的言论，如嘲笑他人长相""丑八怪""""歪瓜裂枣""。"
fat-shaming,肥胖羞辱的,"针对肥胖人群进行羞辱或歧视的言论，如""肥猪""""坦克""""死胖子""。"
education-shaming,学历羞辱的,"基于学历对他人进行羞辱或歧视的言论，如""大专生也配说话？""""学历低就是智商低""。"
occupation-shaming,职业羞辱的,"基于职业对他人进行羞辱或歧视的言论，如""服务员就是低人一等""""农民工脏死了""。"
ultranationalist,极端民族主义的,"表现出极端民族主义立场并排斥外国人的言论，如""洋垃圾滚出中国""""外国人都是间谍""。"
anti-foreign,排外的,对外国人或外来文化表现出排斥或敌意的言论，如抵制一切外国事物、攻击涉外婚姻。
trolling,钓鱼引战的,"故意发表争议性言论引发争吵或混乱的行为，如""我就是来引战的""""看你们互撕真有趣""。"
concern-trolling,伪关心引战的,"假装关心实则引战的言论，如""我也是为你好，但你确实不行""。"
sealioning,纠缠式质问的,以不断质问的方式骚扰他人，表面看似理性讨论实则恶意纠缠。
dog-whistling,狗哨政治的,使用隐晦代码或暗示向特定群体传递仇恨信息的言论，表面中性实则含有歧视意味。
parent-shaming,父母羞辱的,"攻击对方父母或家庭的言论，如""没教养""""你爸妈怎么教你的""""全家死光""。"
death-wishing,诅咒死亡的,"诅咒他人死亡或遭受不幸的言论，如""你怎么不去死""""全家暴毙""""出门被车撞""。"
rape-threatening,强奸威胁的,"包含强奸威胁或性暴力暗示的言论，如""把你强奸了""""轮了你""。"
suicide-baiting,怂恿自杀的,"怂恿或诱导他人自杀的言论，如""你去死吧""""活着也是浪费""""怎么还不跳楼""。"
gaslighting,煤气灯操纵的,"通过扭曲事实、否认现实来操控他人认知的言论，如""你太敏感了""""这根本不存在歧视""。"
what-about-ism,比烂主义的,"通过转移话题""那你怎么不说XX""来回避核心问题的言论。"
straw-manning,稻草人攻击的,歪曲对方观点后进行攻击的言论，如故意曲解他人意思然后反驳。
guilt-tripping,愧疚诱导的,"通过诱导愧疚感来操控他人的言论，如""我为你付出这么多你就这样对我""。"
victim-blaming,受害者有罪论的,"将责任归咎于受害者的言论，如""被强奸是因为你穿得太暴露""""被欺负是因为你软弱""。"
anti-rural,反农村人的,"对农村人群表现出歧视或偏见的言论，如""乡巴佬""""土包子""""农村人没素质""。"
anti-migrant,反流动人口的,"对流动人口或外来务工人员表现出歧视的言论，如""外地人滚回去""""农民工就是脏""。"
ableist,残障歧视的,"对残障人士表现出歧视或偏见的言论，如""残疾人就该待在家里""""脑残""。"
fan-toxic,饭圈毒的,饭圈文化中具有毒害性的言论，如恶意攻击对家、刷黑词条、组织网暴明星。
cancel-culture,取消文化的,"通过集体行动封杀或抵制特定个人的言论，如""让他社死""""全网封杀""。"
