name,type,category,definition,prompt_template
纠缠式质问的,strategy,indirect,以连续逼问、反复盘诘的方式骚扰他人，表面看似理性讨论实则恶意纠缠。,strategy
狗哨政治的,strategy,indirect,使用隐晦代码或暗示向特定群体传递仇恨信息的言论，表面中性实则含有歧视意味。,strategy
道德绑架的,strategy,indirect,占据伦理制高点强迫他人接受特定立场，将不同意见者定义为不道德的言论，如"不转发就是帮凶""你不支持就是歧视"。,strategy
愧疚诱导的,strategy,indirect,通过制造对方的负罪感来操控对方行为，而非通过恐吓或施压。与"情感操纵的"不同：愧疚诱导仅限于利用负罪感这一特定心理机制，情感操纵包括恐吓、施压、愧疚等更广泛的手段。,strategy
比烂主义的,strategy,indirect,通过转移话题"那你怎么不说XX"来回避核心问题的言论。,strategy
稻草人攻击的,strategy,indirect,歪曲对方观点后加以反驳的言论，如故意曲解他人意思然后反驳。,strategy
偷换概念的,strategy,indirect,在讨论中悄悄替换核心语词的含义，使对方论点变得荒谬，如从"平权"偷换为"特权"。,strategy
带节奏的,strategy,indirect,故意歪曲叙事方向或操控信息呈现来引导读者形成特定偏见的言论，如截取片段扭曲原意、偷换因果、混淆视听、选择性引用制造误导。,strategy
被动攻击的,strategy,indirect,以消极不合作方式间接表达对抗并施加伤害，如冷暴力、沉默抵抗、表面配合实则消极对抗。,strategy
嘲讽的,strategy,indirect,以挖苦或讥笑方式贬低他人的言论，如用讽刺语气嘲笑对方、贬损性模仿他人。,strategy
操纵共鸣的,strategy,indirect,利用情绪化表达获取同情来掩盖攻击或回避批评的策略，包括以弱者自居、放大受害经历、用哭诉转移关注等。如"我们才是被歧视的一方"（在实施歧视的同时说）、放大自身受害经历以使对方不敢反驳。吸收原"受害者姿态的"概念：实施攻击的同时扮演弱者角色也是操纵共鸣的一种形式。,strategy
镜像指控的,strategy,indirect,反咬对方正在做攻击者自己正在做的事，反转加害者-受害者关系的言论，如"你们才是真正的歧视者""被压迫的其实是我们"。,strategy
选择性引用的,strategy,indirect,只引用有利信息而忽略不利证据，以片面材料支撑偏见立场的言论，如只展示犯罪统计数据中的特定族裔、只引用支持偏见的来源。,strategy
内部偏见合理化的,strategy,indirect,为已有的歧视性立场提供看似理性的论证，使不公正看法看起来合理的言论，如用伪科学论证种族优劣、用统计数据支持性别歧视。,strategy
正当化暴力的,strategy,indirect,为已发生的暴力行为寻找开脱借口，使伤害行为看起来情有可原的言论，如"他被打是活该""是因为他们先惹事的"。,strategy
道德审判的,strategy,indirect,以伦理裁决者姿态对他人进行定罪式谴责，将不同意见者定义为败坏的言论。,strategy
情感操纵的,strategy,indirect,通过恐吓、制造愧疚、施压等多种手段影响他人心理状态以达到控制目的的言论。,strategy
诉诸人身的,strategy,indirect,攻击对方个人特征（如身份、外貌、背景）而非反驳其论点的策略。与"贴标签的"不同：贴标签是将对方简化为负面标签，诉诸人身是对个人特征的直接攻击以否定其论点合法性。,strategy
气灯效应的,strategy,indirect,否认或扭曲事实使对方怀疑自己感知和判断的策略，如"你太敏感了""这根本不存在歧视""你记错了"。与"偷换概念"不同：气灯效应针对的是对方的认知和感知本身。,strategy
转移视线的,strategy,indirect,引入无关话题或制造干扰以引开对核心问题的关注。与"比烂主义"不同：比烂主义是通过"那你怎么不说XX"来回避问题，转移视线可以是任何形式的注意力转移，如红鲱鱼谬误。,strategy
虚假二分的,strategy,indirect,将复杂问题简化为两个极端选项，排除中间立场的策略，如"你要么支持我们，要么就是敌人"。与"道德绑架的"有重叠但角度不同：虚假二分侧重逻辑谬误，道德绑架侧重情感胁迫。,strategy
以偏概全的,evaluation,indirect,将个别案例扩大为群体特征，强化负面刻板印象的言论，如"xx人都这样""xx省全是这样"。,evaluation
贬义的,evaluation,indirect,带有负面或侮辱性含义的言辞，如使用"婊子""龟男""幕刃"等贬义词汇攻击他人。,evaluation
居高临下的,evaluation,indirect,表现出优越感并以轻蔑和鄙视的态度对待他人，如以教导口吻说"你这种人懂什么"、用"你配吗""就你？"等话语贬低他人价值和尊严。,evaluation
不尊重的,evaluation,indirect,表现出对他人缺乏基本礼貌和尊严对待的言论，如打断对方、无视对方感受、使用轻蔑语气，程度较温和。,evaluation
令人厌恶的,evaluation,indirect,使用强烈嫌恶措辞对他人进行贬斥或引起强烈反感的言论，如"恶心""令人作呕"，包括极端歧视性表达或令人不适的侮辱性语言。,evaluation
贬低价值的,evaluation,indirect,通过言辞否定他人或群体的能力和贡献，如否定某群体的存在意义、贬低某人的专业能力。,evaluation
伤人的,evaluation,indirect,可能造成他人情感痛苦或心理创伤的言论，如尖刻的批评、伤人的嘲讽、有意或无意的冒犯。,evaluation
冒犯的,evaluation,indirect,言辞触及他人敏感领域或使用不当措辞使对方感到被冒犯，严重程度低于侮辱性攻击，如使用不当用语、触及敏感话题。,evaluation
恶意的,evaluation,indirect,具有明确害人倾向的言论，说话者以造成他人损失为目的，如蓄意损害他人名誉、故意挑衅激怒。,evaluation
非人化的,evaluation,indirect,将他人贬低为低等生物或非人类，剥夺其基本人格尊严，如称特定群体为"虫""动物""类人猿""畜生""蛆"，为更严重的歧视和暴力铺路。,evaluation
无耻的,evaluation,indirect,言论展现出道德沦丧和人格低下特质，如使用极端下流或阴暗手段进行攻击、毫无廉耻地进行人身攻击和道德贬低，如称对方"不要脸""脸皮厚"等。,evaluation
阴险的,evaluation,indirect,表面无害但暗中具有危害性的言论，如以看似中性的语言包装歧视偏见，不易被直接识别其有害性。,evaluation
煽动性的,evaluation,indirect,具有鼓动情绪、挑起对立性质的言论，如故意激怒对方、煽动群体冲突。,evaluation
充满攻击性的,evaluation,indirect,言语中蕴含强烈的敌意和对抗性，如充满火药味的指责、威胁或挑衅，极易引发冲突升级。,evaluation
腐蚀性的,evaluation,indirect,言论整体呈现出系统性恶意和破坏性，多种有害特征交织叠加，对讨论环境具有腐蚀作用，使正常交流难以进行。,evaluation
恐吓性的,evaluation,indirect,文本具有使人产生恐惧或心理压力的性质，如暗示不利后果、制造不安全感、使用令人畏惧的措辞。侧重于文本给读者造成的恐惧感受，而非说话者是否在实施威胁行为。,evaluation
种族主义的,discrimination,direct,基于人的族裔或人种出身表现出偏见、歧视或仇恨的言论，如使用"黑鬼""洋垃圾"等种族侮辱词汇、宣扬种族优越论。,discrimination
性别歧视的,discrimination,direct,基于人的生理性别或社会性别身份进行不公平对待或贬低的言论，如"女人就该在家带孩子""男人都是下半身动物"等刻板偏见。,discrimination
厌恶女性的,discrimination,direct,对女性群体表现出仇视、偏见或歧视的言论，如使用"母狗""母猪""幕刃"等贬义称呼攻击女性群体。,discrimination
厌恶男性的,discrimination,direct,对男性群体表现出仇视、偏见或歧视的言论，如"男人都是垃圾""国男普信"。,discrimination
恐同的,discrimination,direct,对同性恋及LGBTQ+群体表现出排斥、偏见或仇恨的言论，如使用"基佬""变态"等贬义称呼、反对LGBTQ+平权。,discrimination
恐跨的,discrimination,direct,对性别认同与出生性别不同的群体表现出排斥、偏见或歧视的言论，如否定跨性别身份、使用侮辱性称呼。,discrimination
反残疾人的,discrimination,direct,对身心障碍群体表现出偏见、歧视或敌意，如嘲笑残疾、贬低残疾人价值的言论。,discrimination
年龄歧视的,discrimination,direct,基于人的年龄或代际身份进行不公平对待或贬低的言论，如嘲笑老年人观念落后或歧视年轻人缺乏经验。,discrimination
地域偏见的,discrimination,direct,基于人的籍贯或居住地对他人进行不公平对待或贬低，如"河南人偷井盖""东北人都是黑社会"等地域黑言论。,discrimination
反女权的,discrimination,direct,攻击或贬低女性争取平等权利的主张的言论，如嘲讽性别平权运动、将女权主义者标签化为"女拳""小仙女"等贬义称呼。,discrimination
性别敌对的,discrimination,direct,煽动两性之间的对立和仇恨，将异性描述为压迫者或敌人的言论。,discrimination
反婚反育的,discrimination,direct,表现出极端反对婚姻和生育的态度并攻击已婚已育人群的言论，如"婚驴""胎器"等侮辱性称呼。,discrimination
沙文主义的,discrimination,direct,宣扬本民族或性别的绝对优越性并据此歧视其他群体的言论。,discrimination
精英主义的,discrimination,direct,表现出知识或阶层优越感并贬低普通民众的言论，如"穷人就是不努力""底层不配说话"。,discrimination
外貌与身体歧视的,discrimination,direct,基于人的长相、体型、体重等外貌及身体特征进行不公正对待、嘲笑或贬低的言论，如嘲笑他人"丑八怪""歪瓜裂枣""坦克""肥猪"。,discrimination
学历羞辱的,discrimination,direct,基于人的教育背景进行贬低或歧视的言论，如"大专生也配说话？""学历低就是智商低"。,discrimination
极端民族主义的,discrimination,direct,表现出极端排外性民族立场并排斥外国人的言论，如"洋垃圾滚出中国""外国人都是间谍"。,discrimination
反农村人的,discrimination,direct,对来自乡村地区的人群表现出歧视或偏见的言论，如"乡巴佬""土包子""农村人没素质"。,discrimination
反流动人口的,discrimination,direct,对非本地户籍人群或外来务工人员表现出歧视的言论，如"外地人滚回去""农民工就是脏"。,discrimination
地方保护主义的,discrimination,direct,表现出强烈本地优越感并排斥外地人的言论，如"外地人滚出去""本地人优先"。,discrimination
排他性的,discrimination,direct,试图将特定群体拒之门外或隔离排斥的言论，如"滚回你的地方去""这里不欢迎你们"。,discrimination
群体污名化的,discrimination,direct,将特定群体标记为危险或不洁，使其被社会排斥的言论，如称某群体为"毒瘤""害虫""社会渣滓"。,discrimination
制造对立的,discrimination,direct,将两个本不对立的群体描述为敌对关系，煽动零和博弈心态的言论，如"xx和yy天生就是敌人""他们抢了我们的资源"。,discrimination
物化特定性别的,discrimination,direct,将特定性别简化为工具或对象，剥夺其人格完整性的言论，如"女人就是用来xx的""男人就是ATM"。,discrimination
强化性别刻板印象的,discrimination,direct,宣扬或强化性别角色刻板印象，将个体限定在传统框架中的言论，如"女人就该在家""男人不能哭"。,discrimination
强化地域刻板印象的,discrimination,direct,宣扬或强化地域刻板印象，反复强调某地的负面标签以固化偏见的言论，如"xx人都是小偷""xx人没文化"。,discrimination
文化优越的,discrimination,direct,宣扬自身文化传统的绝对优越性并贬低其他文化的言论，如"我们才是正统""他们那地方的人就是不行"。,discrimination
群体压迫的,discrimination,direct,基于群体身份利用群体压力迫使特定个体服从或沉默的言论，如"我们群体都认为你错了""你不配代表我们"。,discrimination
特权意识的,discrimination,direct,基于自身特权地位对弱势群体进行系统性贬低，将结构性不平等视为理所当然的言论，如"他们穷是因为不努力"。,discrimination
宗教歧视的,discrimination,direct,对特定信仰群体表现出偏见、不公正对待或仇恨的言论，如侮辱宗教信仰、嘲讽宗教习俗、将特定信仰群体标签化为恐怖分子。,discrimination
疾病歧视的,discrimination,direct,基于人的患病史或健康状况进行不公正对待或排斥的言论，如新冠歧视"武汉人滚出去"、HIV歧视、将"神经病""疯子"作为贬义词使用。,discrimination
职业歧视的,discrimination,direct,基于人的工作身份进行不公正对待或贬低的言论，如歧视外卖员、清洁工、服务员等基层劳动者，使用"下等人""伺候人的"等侮辱性表达。注意与"反农村人的"/"反流动人口的"不同：职业歧视针对工作身份而非地域身份。,discrimination
阶级歧视的,discrimination,direct,基于社会经济地位对底层群体进行直接歧视或贬低的言论，如嘲笑穷人"穷鬼""底层"，将贫困归因为个人缺陷。与"精英主义的"有重叠但角度不同：精英主义侧重精英优越感的表达，阶级歧视侧重对底层群体的直接歧视。,discrimination
粗鲁的,neutral,neutral,以粗鲁或粗暴方式表达的言论，如使用粗俗语言、不讲礼貌，可能伤害他人情感。,neutral
粗俗的,neutral,neutral,使用粗俗或不雅语言的言论，如脏话、低俗表达、不当性暗示，违反社会公序良俗。,neutral
淫秽的,neutral,neutral,包含淫秽或色情内容的言论，如使用露骨性语言、传播色情信息、性骚扰性表达。,neutral
不适当的,neutral,neutral,在特定语境中使用明显不合时宜的言辞，如正式场合使用粗俗语言，但不构成针对性攻击。,neutral
讽刺的,neutral,neutral,使用讽刺或挖苦手法的言论，需区分幽默性讽刺与恶意讽刺，后者可能构成有害言论。,neutral
冒犯但非恶意的,neutral,neutral,言辞可能使人感到不适或冒犯，但不包含针对性攻击或恶意，如用词不当触及敏感话题但无伤害意图。与evaluation中"冒犯的"不同：后者涉及较严重的冒犯（触及敏感领域），本概念仅限于轻微不适。,neutral
攻击意图,intent,pragmatic,说话者意图攻击、伤害或贬损他人（包括直接攻击和隐含攻击）。与"羞辱意图"的关键区别：攻击意图侧重造成实质伤害，羞辱意图侧重使他人丧失尊严。,intent
偏见意图,intent,pragmatic,说话者意图表达对特定群体或个人的偏见、歧视或刻板印象,intent
羞辱意图,intent,pragmatic,说话者意图使他人丧失尊严或颜面，使其在公共场合蒙羞，如当众贬低、揭露隐私以羞辱。与"攻击意图"的关键区别：攻击意图侧重造成伤害，羞辱意图侧重使人丧失尊严。,intent
嘲弄意图,intent,pragmatic,说话者以取笑、让他人难堪或出丑为目的，而非为了实质性讨论。与"攻击意图"不同：攻击意图侧重造成伤害，嘲弄意图侧重取乐和羞辱。,intent
挑衅意图,intent,pragmatic,说话者意图激怒对方、挑起争端或制造对抗。与behavior中的"激将挑衅的"不同：后者是行为描述，挑衅意图是说话者的主观目的。,intent
操控意图,intent,pragmatic,说话者意图操控他人的认知、判断或行为，如通过信息操控影响他人决策、制造舆论导向。与strategy中的"情感操纵的"不同：操控意图侧重主观目的，情感操纵侧重操纵手段。,intent
中立讨论,intent,pragmatic,说话者意图客观地讨论、分析或报道某个话题，而非表达个人有害立场,intent
善意表达,intent,pragmatic,说话者意图以非恶意方式表达，包括但不限于：真诚赞美、关切、感谢、道歉、友好交流、理性讨论、分享信息等。任何不包含攻击、歧视、操控等恶意意图的表达都属于善意表达。,intent
幽默调侃,intent,pragmatic,说话者意图以非恶意的幽默或调侃方式表达，不包含攻击或歧视目的，如善意玩笑、自嘲式幽默。,intent
事实陈述,intent,pragmatic,说话者意图客观陈述可能敏感但非有害的事实，如引用统计数据、报道事件经过，本身不包含攻击目的。,intent
情感宣泄,intent,pragmatic,说话者意图进行非针对他人的情感释放，如表达自身痛苦、不满但未指向具体个人或群体。,intent
批评质疑,intent,pragmatic,说话者意图对具体行为或观点进行合理质疑和批评，而非进行人身攻击。与"攻击意图"的关键区别：批评针对行为/观点，攻击针对人格/身份。,intent
引述评价,intent,pragmatic,说话者意图通过引用或转述可能有争议的内容来分析、批评或警示，而非认同或传播其立场。如引用歧视性言论来批判歧视。,intent
申辩澄清,intent,pragmatic,说话者意图为自己或所属群体辩护、解释或澄清误解，而非攻击他人。如回应指控、说明立场、澄清被曲解的观点。,intent
警示呼吁,intent,pragmatic,说话者意图以建设性方式呼吁关注社会问题或提醒公众风险，如提醒注意安全隐患、呼吁关注弱势群体、指出制度性不公。与有害言论中"恐吓""散布恐慌"的关键区别：警示呼吁是出于关心和责任感，而非制造恐惧或对立。,intent
贬损效果,effect,pragmatic,文本对他人产生贬低、侮辱或损害人格尊严的效果,effect
冒犯效果,effect,pragmatic,文本使他人感到被冒犯或不适，但未达到贬低人格尊严的程度。与"贬损效果"不同：贬损效果涉及人格尊严损害，冒犯效果仅为不适感。,effect
恐吓效果,effect,pragmatic,文本对他人产生直接威胁感受或造成心理压力的效果,effect
煽动效果,effect,pragmatic,文本产生激化敌意、制造对立或加剧矛盾的效果,effect
威慑效果,effect,pragmatic,文本使特定群体感到恐惧或不敢参与讨论，产生寒蝉效应。与"恐吓效果"不同：恐吓效果是直接的威胁感受，威慑效果是隐性的压制效应，如使异见者因恐惧而自我审查。,effect
孤立效果,effect,pragmatic,文本使目标对象感到被排斥、孤立或边缘化，如通过集体排斥使特定个体不敢参与社群活动。,effect
污名效果,effect,pragmatic,文本对特定群体贴上负面标签使其在社会认知中被贬低，如将某群体标记为危险、不洁或不道德，使其遭受社会排斥。,effect
误导效果,effect,pragmatic,文本通过虚假、片面或断章取义的信息误导受众，使其形成错误认知或偏见，如传播未经证实的信息、歪曲事实。,effect
无害效果,effect,pragmatic,文本不会对他人造成实质性伤害，或伤害仅为说话者自身,effect
争议效果,effect,pragmatic,文本产生引发争议或讨论的效果，但不构成对任何人的实质性伤害，属于正常意见交锋范围。,effect
知识传播效果,effect,pragmatic,文本客观上起到了传播知识、解释现象或提高认知的效果，如科普概念、解释背景、提供分析视角。与"争议效果"不同：知识传播侧重建设性的信息增量，而非引发争论。,effect
共情凝聚效果,effect,pragmatic,文本产生促进共情、理解或群体间团结的效果，而非制造对立，如呼吁包容、表达对不同群体的理解和支持。,effect
