adjective,chinese,definition,perspective
ignorant,无知的,表现出缺乏知识或理解的言论，如基于偏见发表歧视性看法。,toxicity
intolerant,不宽容的,表现出对异己观点或群体不宽容的态度，如拒绝接受任何不同意见。,toxicity
inflammatory,煽动性的,具有煽动情绪、激化矛盾性质的言论。,toxicity
destructive,破坏性的,旨在破坏社会秩序、群体关系或人际信任的言论。,toxicity
hurtful,伤人的,可能造成他人情感或心理伤害的言论，如尖刻的批评、伤人的嘲讽。,toxicity
toxic,有毒的,具有毒害作用的网络言论，如恶意攻击、阴阳怪气、散布仇恨。,toxicity
hostile,敌意的,表现出强烈敌意或对抗的言论。,toxicity
defamatory,诽谤性的,故意传播虚假信息损害他人名誉。,toxicity
dismissive,轻视的,"表现出忽视或轻视他人观点的态度，如""你懂什么""""不值一驳""。",toxicity
divisive,分裂的,试图分裂群体或制造对立的言论。,toxicity
aggressive,攻击性的,言辞中带有强制、对抗或敌意，试图通过语言压制或威胁他人。,toxicity
malicious,恶意的,具有明确恶意意图的言论，如故意伤害他人、蓄意传播谣言。,toxicity
xenohostile,排外敌意的,"对外来群体表现出明确敌意的言论，如排斥外国人、攻击外来人口。",toxicity
dangerous,危险的,可能煽动暴力、传播仇恨或导致严重社会危害的言论。,toxicity
spreading hate,传播仇恨的,主动传播仇恨观念的言论行为。,toxicity
bullying,欺凌性的,"通过反复的言语威胁、侮辱或压迫来伤害他人，如""网暴""等具有压迫性的言论。",toxicity
bitter,怨恨的,表达长期积压的不满、怨恨情绪。,toxicity
insensitive,麻木不仁的,对他人感受缺乏敏感度的言论。,toxicity
shameless,无耻的,"评价他人缺乏羞耻感的言论，如指责对方""无耻""""不要脸""。",toxicity
shameful,可耻的,表达对某行为强烈道德谴责的言论。,toxicity
inhuman,非人的,"将他人视为非人存在的言论，如称某群体""不配做人""""该被消灭""。",toxicity
confrontational,对抗性的,表现出直接对抗态度，容易激化矛盾。,toxicity
reprehensible,应受谴责的,对严重不当行为表达强烈谴责的评价。,toxicity
hateful,仇恨的,表现出对特定群体强烈仇恨或敌意的言论。,toxicity
vile,卑鄙的,"使用极端恶劣语言攻击他人的言论，如""卑鄙""""下流""等严重人身攻击。",toxicity
chauvinistic,沙文主义的,表现出自身群体优越感并贬低其他群体的言论。,toxicity
outraged,愤怒的,表达对不公正行为的强烈愤怒。,toxicity
mockingly,嘲讽地,以嘲讽或嘲笑方式表达的言论。,toxicity
unforgivable,不可原谅的,对严重不当行为表达强烈谴责的言论。,toxicity
oppressive,压迫性的,表现出压迫或压制弱势群体的言论。,toxicity
passive-aggressive,被动攻击的,通过间接方式表达敌意的言论，如阴阳怪气、冷嘲热讽。,toxicity
condemning,谴责的,对特定行为表达强烈反对态度。,toxicity
disturbing,令人不安的,内容引起不安或困扰的言论。,toxicity
insidious,阴险的,表面无害但暗中具有危害性的言论。,toxicity
inhumane,不人道的,表现出缺乏基本人道关怀的态度。,toxicity
misanthropic,厌恶人类的,"表现出对人类整体厌恶的言论，如""人类都该死""。",toxicity
ruthless,无情的,表现出冷酷无情态度的言论。,toxicity
sarcastic,讽刺的,使用讽刺或挖苦手法的言论。,toxicity
victim-blaming,受害者有罪论的,"将责任归咎于受害者，如""被欺负是因为你软弱""。",toxicity
cyberbullying,网络霸凌的,在网络上持续骚扰、攻击或孤立特定个人的言论。,toxicity
critical,批评的,对特定事物表达负面评价。,toxicity
witch-hunting,猎巫式的,煽动集体攻击或迫害特定个人的言论。,toxicity
distancing,疏远的,试图与特定群体保持距离或划清界限的言论。,toxicity
sexualizing,性化的,将他人或事物过度性化的言论。,toxicity
controversial,有争议的,涉及容易引发争论的话题。,toxicity
dog-whistling,狗哨政治的,使用隐晦代码或暗示向特定群体传递仇恨信息的言论。,toxicity
trolling,钓鱼引战的,故意发表争议性言论引发争吵或混乱的行为。,toxicity
radical,激进的,主张极端或激进观点的言论。,toxicity
harassing,骚扰性的,持续针对某人进行骚扰性言论攻击。,toxicity
gender-hostile,性别敌对的,表现出对特定性别的强烈敌意，煽动性别对立的言论。,toxicity
unfair,不公平的,指出某事不公正或不公平的言论。,toxicity
condescending,居高临下的,"表现出优越感并轻视他人的态度，如""你这种人懂什么""。",toxicity
sexist,性别歧视的,基于性别进行刻板印象评价或贬低的言论。,toxicity
misogynistic,厌恶女性的,"表现出对女性厌恶、偏见或歧视的言论，如使用""母狗""等贬义称呼。",toxicity
region-biased,地域偏见的,"基于地域对他人进行刻板印象评价或贬低，如""河南人偷井盖""。",toxicity
anti-feminist,反女权的,"反对女性权益主张的言论，如将女权主义者标签化为""女拳""。",toxicity
extremist,极端主义的,支持或宣扬极端理念的言论。,toxicity
racist,种族主义的,"基于种族表现出偏见、歧视或仇恨的言论，如使用""黑鬼""等种族侮辱词汇。",toxicity
intimidating,恐吓的,试图通过言辞恐吓或威胁他人的言论。,toxicity
threatening,威胁性的,包含威胁或恐吓内容的言论。,toxicity
xenophobic,仇外的,"对外国人或外来群体表现出恐惧、偏见或仇恨的言论，如""洋垃圾""。",toxicity
deliberative,商议性的,旨在进行理性讨论和深入思考的言论。,toxicity
fact-based,基于事实的,以事实为依据进行论述的言论。,toxicity
admiring,赞赏的,对他人或其行为表达认可、钦佩或赞美。,toxicity
conciliatory,调和的,试图缓解冲突、促进和解的言论。,toxicity
integrative,整合的,试图整合不同观点或促进群体融合的言论。,toxicity
accepting,包容的,尊重和接纳不同群体或观点的态度。,toxicity
democratically,民主地,符合民主原则的言论方式，尊重不同意见的表达权利。,toxicity
considerate,体贴的,考虑他人感受的言论态度。,toxicity
humane,人道的,表现出人道关怀和尊重的言论。,toxicity
diversity conscious,关注多样性的,关注和重视多元文化和群体多样性的言论。,toxicity
expressing concern,表达关切的,表达对某事的担忧或关切的言论。,toxicity
fair,公平的,主张公平公正对待所有群体的言论。,toxicity
quotative,引用性的,引用或转述他人言论或观点，而非自己直接表达，如"有人说""据报道"。引用他人言论不代表认同该言论。,pragmatic
descriptive,描述性的,客观描述或叙述事件、行为或现象，而非亲自实施或倡导，如"网上有很多歧视言论"。描述性行为本身通常不构成毒性。,pragmatic
analytical,分析性的,分析原因、规律或深层机制，具有理性探究特征，如"根源在于""从机制上看"。分析性言论通常较理性。,pragmatic
reflective,反思性的,反思社会问题或自身经历，带有批判性自省，如"我们是否也在无意中""反思一下"。反思性言论通常具有建设性。,pragmatic
appealing,呼吁性的,呼吁关注、改变或行动，带有社会关怀，如"请停止""我们应该"。呼吁性言论的毒性取决于呼吁内容。,pragmatic
refutative,反驳性的,反驳或反对某种有害观点或行为，如"这完全是偏见""这种说法不对"。反驳性言论通常是对抗毒性的。,pragmatic
assertive,断言性的,以断言方式陈述命题，承诺命题为真，如"他们就是""这绝对是"。断言性言论的毒性取决于断言内容。,pragmatic
directive,指令性的,试图让听话者做某事，具有指令语气，如"你应该""大家来"。指令性言论在毒性语境中常伴随威胁或煽动。,pragmatic
expressive,表达性的,表达自身心理状态或情感态度，如"我恨""我感到愤怒"。表达性言论需区分恶意情感与正当情感表达。,pragmatic
commissive,承诺性的,承诺未来行动，包括威胁性承诺，如"我会让你""我一定要"。承诺性言论在毒性语境中常构成威胁。,pragmatic
narrative,叙述性的,叙述或讲述事件经过，而非评价或判断，如"昨天看到""他先说了"。叙述性言论本身通常不构成毒性。,pragmatic
questioning,质疑性的,以疑问方式表达立场或引发思考，如"难道还要""凭什么"。质疑性言论可能是建设性的，也可能是煽动性的。,pragmatic
persuasive,劝说的,试图说服他人接受观点或采取行动，如"我们应该尊重""别再"。劝说性言论的毒性取决于劝说内容。,pragmatic
reporting,报道性的,陈述或报告事实、事件或数据，如"据统计""某平台发布了"。报道性言论通常不构成毒性。,pragmatic
exemplifying,举例说明的,通过举例支持观点或说明问题，如"比如有人用""像这种"。举例说明性言论本身通常不构成毒性。,pragmatic
prescriptive,规范性的,提出应该怎样做的规范性主张，如"不应该用""需要更多"。规范性言论通常是建设性的。,pragmatic
evaluative,评价性的,对某事做出价值判断或评价，如"太恶劣了""值得肯定"。评价性言论需区分正当评价与攻击。,pragmatic
indignant,义愤的,因不公正行为表达正当愤怒和谴责，针对行为而非攻击个人，如"令人无法接受""怎么能这样"。义愤是正当情感表达。,emotional
resentful,怨恨的,表达长期积压的不满或怨恨，语气带有苦涩，如"一直看不起我们""每次都是"。怨恨可能是对真实不公的反应，也可能演变为敌意。,emotional
contemptuous_emotion,蔑视情感的,以轻蔑、鄙夷态度对待他人，如"就他那水平也配""根本不值得理睬"。蔑视情感是毒性言论中最具破坏性的情感类型之一。,emotional
disgusted,厌恶的,表达对他人或事物的强烈厌恶，如"恶心""令人作呕"。需区分对不当行为的正当厌恶与对个人的人格贬低。,emotional
fearful,恐惧的,表达恐惧或担忧情绪，如"很害怕""让人不寒而栗"。恐惧情绪本身不构成毒性，可能是毒性言论的受害者反应。,emotional
sympathetic,同情的,对他人遭遇表达理解和同情，如"真的很可怜""理解他们的感受"。同情情感是非毒性言论的重要标志。,emotional
remorseful,懊悔的,表达后悔或自责情绪，如"觉得很惭愧""不应该那样说"。懊悔情感表明说话者具有反思能力。,emotional
disappointed,失望的,表达失望情绪，如"没想到还有""很遗憾变成了"。失望情绪本身不构成毒性。,emotional
anxious,焦虑的,表达焦虑或不安情绪，如"让人很不安""担心"。焦虑情绪本身不构成毒性。,emotional
moral_judgment,道德判断的,从道德角度对行为进行判断，区分善恶对错，如"道德上的错误""违背基本伦理"。需区分正当道德评价与道德绑架。,emotional
aesthetic_judgment,审美评价的,从品质或价值角度进行评价，如"拉低了讨论质量""毫无美感"。审美评价在毒性语境中可能表现为贬低性评价。,emotional
emotional_intensity,情感强烈的,表达的情感强度很高，如"绝对不能容忍""你去死吧"。情感强度本身不决定毒性，但高强度情感更可能伴随攻击性表达。,emotional
emotional_suppressed,情感压抑的,压抑或控制情感表达，表面冷静，如"不太合适""嗯，知道了"。情感压抑在毒性语境中可能表现为冷暴力或阴阳怪气。,emotional
certain,确信的,对所陈述内容表达高度确信，不留余地，如"他们就是""这绝对是"。确信性表达在毒性语境中常为绝对化断言。,epistemic
uncertain,不确定的,对所陈述内容表达不确定或有保留，如"可能是我理解有误""据说"。不确定表达通常不构成毒性。,epistemic
speculative,推测的,基于推理而非直接证据做出判断，如"应该是个""可能反映了"。需区分合理推理与无端指控。,epistemic
hearsay,传闻的,转述他人说法或传闻，如"听说""网上有人说"。传闻可能是偏见的传播渠道，也可能是客观转述。,epistemic
firsthand,亲历的,基于自身直接经验或观察做出陈述，如"我亲眼看到""我自己就经历过"。亲历性表达具有较高可信度。,epistemic
absolute,绝对化的,使用绝对化语言，不留例外或条件，如"所有XX都是""从来没有任何"。绝对化表达是毒性言论的常见特征。,epistemic
qualified,有保留的,表达时加入限定条件或保留意见，如"在大多数情况下""从某种程度上说"。有保留的表达通常更理性。,epistemic
monoglossic,单声独断的,不承认其他观点的存在或合理性，如"没什么好讨论的""只有蠢货才会这么想"。单声独断在毒性语境中表现为排斥异见。,epistemic
heteroglossic,多声开放的,承认其他观点的存在和合理性，如"我理解你的看法""不同的人可能有不同经历"。多声开放通常是非毒性讨论的标志。,epistemic
evidence_based,有据可依的,引用具体证据或数据支持观点，如"根据调查数据""法律明确规定"。有据可依的表达通常更理性。,epistemic
groundless,无根据的,做出缺乏证据支持的断言或指控，如"肯定都是坏人""不可能有好东西"。无根据断言是毒性言论的常见特征。,epistemic
ironic,反讽的,使用反讽手法，表面意思与实际意思相反，如"呵呵，真厉害""你可真是大善人啊"。反讽是隐式毒性的常见表达方式。,rhetorical
exaggerated,夸张的,使用夸张手法放大或缩小事实，如"简直要把天都翻了""千刀万剐"。夸张在毒性语境中常用于煽动情绪。,rhetorical
euphemistic,委婉的,使用委婉语替代直白表达，如"不太方便说""某些群体"。委婉表达在毒性语境中可能掩饰攻击性内容。,rhetorical
metaphorical,比喻的,使用比喻或隐喻表达观点，如"社会的毒瘤""大染缸"。比喻在毒性语境中可能构成非人化表达。,rhetorical
rhetorical_question,反问的,使用反问句表达强烈立场，如"难道还要继续吗""凭什么"。反问句在毒性语境中常用于煽动情绪。,rhetorical
colloquial,口语化的,使用口语化、非正式的表达方式，如"这事儿真离谱""你丫有病吧"。口语化程度与毒性无直接关系。,rhetorical
repetitive,重复强调的,通过重复强调观点或增强语气，如"就是不对！就是不对！""恶心恶心恶心"。重复强调在毒性语境中常用于强化攻击性。,rhetorical
implicit_attacking,含沙射影的,通过暗示、影射等方式间接表达敌意，如"有些人啊，自己心里清楚""大家都知道是什么样的人"。含沙射影是中文隐式毒性的典型方式。,rhetorical
