adjective,chinese,definition
dismissive,轻视的,"表现出忽视或轻视他人观点的态度，如""你懂什么""""不值一驳""，可能引发冲突。轻视常通过否定对方发言资格来压制讨论，如""你一个外行懂什么""。"
disrespectful,不尊重的,表现出对他人缺乏基本尊重的言论，如打断对方、无视对方感受、使用轻蔑语气。不尊重是毒性言论的基础维度，常与其他有害维度叠加出现。
distracting,分散注意力的,"故意将讨论引向无关方向以回避核心问题的言论，如用无关话题转移对歧视行为的关注。在中文网络辩论中常见""转移话题""""顾左右而言他""等策略，需识别其回避责任的意图。"
disturbing,令人不安的,"内容引起不安或困扰，如描述暴力细节、传播恐慌信息的言论，需结合严重程度判断。需注意令人不安的内容可能以""科普""""警示""的名义传播，实则含有恐吓或操纵意图。"
divisive,分裂的,"试图分裂群体或制造对立的言论，如挑拨不同地域、性别群体之间互相敌视和攻击。在中文语境中常见于煽动地域对立、性别对立、阶层对立等，需警惕以""客观分析""包装的分裂性言论。"
exclusionary,排他性的,"试图将特定群体排除在外的言论，如""滚回你的地方去""""这里不欢迎你们""等排斥性表达。排他性言论常以""保护本地利益""""维护群体纯洁""等理由合理化排斥行为。"
extremist,极端主义的,"支持或宣扬极端理念的言论，如鼓吹种族清洗、性别灭绝或极端政治主张。需注意极端主义言论可能以""激进改革""""彻底解决""等看似正当的表述包装，实则含有暴力或仇恨暗示。"
gender discriminatory,性别歧视的,"基于性别进行不公平对待或贬低的言论，如""女人就该在家带孩子""""男人都是下半身动物""等刻板偏见。需注意中文语境中性别歧视常以""传统观念""""生理差异""等理由合理化。"
glorifying violence,美化暴力的,"美化或赞扬暴力行为的言论，如为家暴辩护、赞扬打砸抢烧行为、鼓吹暴力解决问题。需注意美化暴力常以""以暴制暴""""替天行道""等正义化包装出现。"
harassing,骚扰性的,持续针对某人进行骚扰性言论攻击，如反复辱骂、人身威胁、恶意@他人等具有重复性和针对性的行为。骚扰的核心特征是重复性和针对性，即使单次言论不构成严重攻击，持续骚扰也会造成严重伤害。
harmful,有害的,可能造成情感、心理或社会伤害的言论，如有毒网络发言、恶意攻击、散布仇恨等具有破坏性的内容。有害性是毒性言论的总体判断维度，需结合具体内容和语境评估危害程度。
hateful,仇恨的,表现出对特定群体强烈仇恨或敌意的言论，如煽动对某群体的敌对情绪、使用仇恨性语言攻击。仇恨言论的核心特征是对群体身份的攻击，而非对个体行为的批评。
homophobic,恐同的,"对同性恋及LGBTQ+群体表现出恐惧、偏见或仇恨的言论，如使用""基佬""""变态""等贬义称呼、反对LGBTQ+平权。在中文网络中恐同言论常以""保护传统家庭""""不正常""等理由包装。"
hostile,敌意的,表现出强烈敌意或对抗的言论，如充满火药味的攻击、恶意的指责和敌对情绪表达。敌意是毒性言论的核心情绪维度，常与攻击性、侮辱性等维度叠加出现。
hostile to minorities,对少数群体有敌意的,"对少数群体表现出明确敌意的言论，如攻击少数族裔、性少数群体或弱势群体。需注意对少数群体的敌意可能以""多数人意见""""主流价值观""的名义合理化。"
humiliating,羞辱性的,"旨在使他人蒙羞或丢脸的言论，如公开嘲讽对方缺陷、恶意揭短、使对方难堪的攻击行为。在中文网络中羞辱常以""社死""""挂人""等形式出现，具有公开性和传播性。"
hurtful,伤人的,"可能造成他人情感或心理伤害的言论，如尖刻的批评、伤人的嘲讽、无意或有意的冒犯。伤人言论的判断需考虑接收者感受，即使发言者声称""只是开玩笑""。"
inhumane,不人道的,"表现出缺乏基本人道关怀的态度，如对他人苦难漠不关心甚至幸灾乐祸、赞同残忍行为。不人道言论常以""优胜劣汰""""弱者活该""等社会达尔文主义逻辑合理化。"
insensitive,麻木不仁的,对他人感受缺乏敏感度的言论，如在他人遭受歧视时表现出漠视或轻描淡写。麻木不仁可能是无意的，但在有害言论语境中常构成对受害者感受的二次伤害。
insidious,阴险的,"表面无害但暗中具有危害性的言论，如以看似中性的语言包装歧视偏见，不易被直接识别其有害性。阴险言论的危害在于其隐蔽性，常以""客观陈述""""事实如此""等伪装出现。"
insulting,侮辱性的,旨在侮辱或冒犯他人的言论，如直接使用脏话、侮辱性称呼攻击对方，具有明确的伤害性。侮辱性是毒性言论最直接的表现形式，但需注意中文网络中侮辱常以谐音、暗语等间接形式出现。
intimidating,恐吓的,"试图通过言辞恐吓或威胁他人的言论，如威胁对方人身安全、暗示报复后果。恐吓可以是直接的暴力威胁，也可以是隐性的社会关系威胁，如""让你在这个圈子混不下去""。"
intolerant,不宽容的,"表现出对异己观点或群体不宽容的态度，如拒绝接受任何不同意见、排斥特定群体。不宽容常以""绝对正确""""不可妥协""的姿态出现，拒绝理性对话的可能性。"
malicious,恶意的,具有明确恶意意图的言论，如故意伤害他人、蓄意传播谣言、恶意挑衅等故意造成损害的表达。恶意性是区分有害言论与不当表达的关键维度，需判断发言者的意图。
misanthropic,厌恶人类的,"表现出对人类整体厌恶或仇恨的言论，如认为""人类都该死""""人都是自私的垃圾""等极端表达。厌恶人类的言论可能源于深度愤世嫉俗，也可能是极端思想的表达。"
misogynistic,厌恶女性的,"表现出对女性厌恶、偏见或歧视的言论，如使用""母狗""""母猪""""幕刃""等贬义称呼攻击女性群体。在中文网络中厌女言论常以""理性分析""""生物学事实""等伪科学包装。"
mockingly,嘲讽地,以嘲讽或嘲笑方式表达的言论，如用讽刺语气贬低对方、挖苦他人。嘲讽可以是公开的嘲笑，也可以是隐含的讽刺，需结合语境判断是否构成有害言论。
obscene,淫秽的,"包含淫秽或色情内容的言论，如使用露骨性语言、传播色情信息、性骚扰性表达。在中文网络中淫秽言论常以""开车""""福利""等暗语包装，需识别其性骚扰或性化攻击的实质。"
oppressive,压迫性的,"表现出压迫或压制弱势群体的言论，如维护不平等权力结构、为歧视性制度辩护。压迫性言论常以""传统""""秩序""""规矩""等名义合理化不平等的权力关系。"
passive-aggressive,被动攻击的,"通过间接方式表达敌意的言论，如阴阳怪气、冷嘲热讽、表面恭维实则贬低。被动攻击在中文网络中极为常见，需识别""您可真厉害""""不愧是您""等表面恭维实则讽刺的表达。"
pathetic,可悲的,"表达轻蔑或鄙夷的负面评价，如用""可悲""嘲讽对方处境或观点，可能构成人身攻击。在中文网络中""可悲""常被用作居高临下的嘲讽，暗示对方不值得同情。"
preaching hate,宣扬仇恨的,主动宣扬对特定群体的仇恨观念，如鼓动他人敌视某群体、系统性地传播仇恨思想。宣扬仇恨比表达仇恨更进一步，具有煽动性和传播性，是极端化的重要信号。
prejudiced,有偏见的,基于先入为主的偏见评判他人或群体的言论，如对特定地域人群持有刻板负面印象。偏见可以是显性的刻板印象表达，也可以是隐性的假设和暗示。
racist,种族主义的,"基于种族表现出偏见、歧视或仇恨的言论，如使用""黑鬼""""洋垃圾""等种族侮辱词汇、宣扬种族优越论。在中文网络中种族主义常以""文化差异""""客观事实""等包装出现。"
radical,激进的,主张极端或激进观点的言论，如鼓吹推翻现有秩序、支持极端手段，容易与极端主义关联。需区分合理的社会变革主张与煽动暴力的激进言论。
reprehensible,应受谴责的,"对严重不当行为表达强烈谴责的评价，涵盖""不可接受""""不可原谅""""可耻""等程度。需区分对行为的正当谴责与对群体的恶意攻击，前者针对具体行为，后者针对身份特征。"
ruthless,无情的,"表现出冷酷无情态度的言论，如对他人苦难毫无同情、赞同残忍行为，缺乏基本人道关怀。无情常以""现实就是这样""""弱者不配同情""等冷漠逻辑表达。"
sarcastic,讽刺的,"使用讽刺或挖苦手法的言论，需区分幽默性讽刺与恶意讽刺，后者可能构成有害言论。在中文网络中讽刺常以反语形式出现，如""您可真是太厉害了""实则嘲讽。"
sexualizing,性化的,"将他人或事物过度性化的言论，如对他人进行性暗示评价、使用性化贬义词攻击对方。在中文网络中性化攻击常以""擦边""""福利""等暗语包装，对女性尤为常见。"
shameless,无耻的,"评价他人缺乏羞耻感的言论，如指责对方""无耻""""不要脸""，可能构成人身攻击。需注意""无耻""在中文语境中攻击性较强，常用于道德层面的极端否定。"
stirring up conflict,煽动冲突的,"故意煽动或加剧群体间冲突的言论，如挑拨地域矛盾、激化性别对立、制造族群敌意。煽动冲突常以""揭露真相""""主持公道""的名义出现，实则意在制造对立。"
threatening,威胁性的,"包含威胁或恐吓内容的言论，如威胁他人人身安全、暗示将实施报复行为。威胁可以是直接的暴力威胁，也可以是间接的社会性威胁，如""让你社死""""曝光你""。"
toxic,有毒的,具有毒害作用的网络言论，如恶意攻击、阴阳怪气、散布仇恨、网络霸凌等具有腐蚀性和破坏性的表达。毒性是总体判断维度，涵盖直接攻击和隐性有害表达。
transphobic,跨性别恐惧症的,"对跨性别群体表现出恐惧、偏见或歧视的言论，如否定跨性别身份、使用侮辱性称呼。在中文网络中跨性别恐惧常以""心理疾病""""不正常""等表述出现。"
uncivilized,不文明的,以粗鲁或不文明方式表达的言论，如使用脏话、人身攻击、缺乏基本社交礼仪。不文明是毒性言论的基础维度，但需注意不文明表达不一定构成严重有害言论。
unrestrained,无节制的,表现出缺乏约束的言论特征，如情绪失控的大段辱骂、不加节制的极端表达。无节制常与情绪化表达相关，需注意其升级为更严重有害言论的风险。
vile,卑鄙的,"使用极端恶劣语言攻击他人的言论，如用""卑鄙""""下流""等词进行严重人身攻击和道德贬低。卑鄙是毒性较强的评价维度，常伴随对他人人格的根本性否定。"
violent,暴力的,包含暴力内容或煽动暴力的言论，如描述暴力行为、威胁使用暴力、美化暴力手段。暴力言论是毒性最强的维度之一，需特别注意其从言语暴力升级为实际行动的风险。
vulgar,粗俗的,使用粗俗或不雅语言的言论，如脏话、低俗表达、不当性暗示，违反社会公序良俗。粗俗是毒性言论的常见表现形式，但需区分粗俗表达与创造性语言使用。
xenophobic,仇外的,"对外国人或外来群体表现出恐惧、偏见或仇恨的言论，如使用""洋垃圾""""滚出去""等排外性表达。仇外言论常以""保护本土""""国家安全""等名义合理化。"
region-biased,地域偏见的,"基于地域对他人进行刻板印象评价或贬低，如""河南人偷井盖""""东北人都是黑社会""等地域黑言论。地域偏见是中文网络特有的重要毒性维度，常以""段子""""玩笑""包装。"
doxing,人肉搜索的,"公开他人隐私信息或煽动人肉搜索的言论，如曝光他人真实身份、住址、联系方式等。在中文网络中""开盒""""人肉""是常见形式，需注意即使信息已公开，恶意收集传播仍构成侵犯。"
cyberbullying,网络霸凌的,在网络上持续骚扰、攻击或孤立特定个人的言论，如组织网暴、恶意刷屏攻击。网络霸凌具有群体性、持续性和匿名性特征，危害常超出当事人承受能力。
witch-hunting,猎巫式的,"煽动集体攻击或迫害特定个人的言论，如号召网友一起攻击某人""扒皮""。猎巫式攻击常以""正义""""真相""的名义发动，实则构成群体暴力。"
misandrist,厌恶男性的,"表现出对男性厌恶、偏见或歧视的言论，如""男人都是垃圾""""国男普信""。厌男言论常以性别对立的形式出现，需区分对父权制的合理批评与对男性群体的仇恨表达。"
sexist,性别歧视的,"基于性别进行刻板印象评价或贬低的言论，涵盖对任何性别的不公平对待。性别歧视可以是显性的贬低，也可以是隐性的刻板印象强化，如""女生理科不好""。"
gender-hostile,性别敌对的,"表现出对特定性别的强烈敌意，煽动性别对立和仇恨的言论。性别敌对比性别歧视更进一步，含有主动攻击和煽动对立的意图，如""男女对立""式言论。"
anti-marriage,反婚反育的,"表现出极端反婚反育态度并攻击已婚已育人群的言论，如""婚驴""""胎器""等侮辱性称呼。反婚反育言论需区分个人选择表达与对他人选择的攻击性否定。"
feminazi,极端女权的,"表现出极端女权主义立场并攻击男性群体的言论，如将男性统称为""蝻""""蛆""。极端女权言论常以性别战争的话语框架出现，含有对整个男性群体的仇恨。"
classist,阶级歧视的,"基于社会经济地位对他人进行歧视或贬低的言论，如嘲笑穷人""穷鬼""""底层""。阶级歧视常以""不努力""""活该""等归因逻辑合理化，也包含对富人的仇富攻击。"
elitist,精英主义的,"表现出精英优越感并贬低普通民众的言论，如""穷人就是不努力""""底层不配说话""。精英主义常以""能力差异""""市场竞争""等逻辑合理化不平等。"
lookist,外貌歧视的,"基于外貌对他人进行歧视或贬低的言论，如嘲笑他人长相""丑八怪""""歪瓜裂枣""。外貌歧视在中文网络中极为常见，常以""颜值""评价体系为框架。"
fat-shaming,肥胖羞辱的,"针对肥胖人群进行羞辱或歧视的言论，如""肥猪""""坦克""""死胖子""。肥胖羞辱常以""关心健康""的名义出现，实则含有对外貌的攻击性评价。"
education-shaming,学历羞辱的,"基于学历对他人进行羞辱或歧视的言论，如""大专生也配说话？""""学历低就是智商低""。学历羞辱在中文网络中常以""九八五""""双一流""等标签体系为框架进行歧视。"
occupation-shaming,职业羞辱的,"基于职业对他人进行羞辱或歧视的言论，如""服务员就是低人一等""""农民工脏死了""。职业羞辱常与阶级歧视、地域偏见交织，反映社会阶层偏见。"
ultranationalist,极端民族主义的,"表现出极端民族主义立场并排斥外国人的言论，如""洋垃圾滚出中国""""外国人都是间谍""。极端民族主义常以""爱国""名义合理化排外和仇恨表达。"
trolling,钓鱼引战的,"故意发表争议性言论引发争吵或混乱的行为，如""我就是来引战的""""看你们互撕真有趣""。钓鱼引战的核心特征是故意性和娱乐性，发言者未必认同所发表的观点。"
concern-trolling,伪关心引战的,"假装关心实则引战或贬低的言论，如""我也是为你好，但你确实不行""""呵呵，你开心就好""。伪关心在中文网络中常以""善意提醒""""过来人经验""等包装出现。"
sealioning,纠缠式质问的,"以不断质问的方式骚扰他人，表面看似理性讨论实则恶意纠缠。纠缠式质问常以""请给出证据""""你能不能解释一下""等看似理性的方式消耗对方精力。"
dog-whistling,狗哨政治的,使用隐晦代码或暗示向特定群体传递仇恨信息的言论，表面中性实则含有歧视意味。在中文语境中狗哨常以文化典故、历史隐喻、网络暗语等形式出现，如特定数字组合、历史事件引用等。
parent-shaming,父母羞辱的,"攻击对方父母或家庭的言论，如""没教养""""你爸妈怎么教你的""""全家死光""。父母羞辱在中文文化中攻击性特别强，因家庭观念在中文文化中具有重要地位。"
death-wishing,诅咒死亡的,"诅咒他人死亡或遭受不幸的言论，如""你怎么不去死""""全家暴毙""""出门被车撞""。诅咒死亡是毒性极强的表达，即使发言者声称""只是说说""，仍构成严重有害言论。"
rape-threatening,强奸威胁的,"包含强奸威胁或性暴力暗示的言论，如""把你强奸了""""轮了你""。强奸威胁是针对女性的极端暴力言论，常含有性别权力压迫的意味。"
suicide-baiting,怂恿自杀的,"怂恿或诱导他人自杀的言论，如""你去死吧""""活着也是浪费""""怎么还不跳楼""。怂恿自杀是毒性最强的言论形式之一，可能造成不可挽回的后果。"
gaslighting,煤气灯操纵的,"通过扭曲事实、否认现实来操控他人认知的言论，如""你太敏感了""""这根本不存在歧视""""你记错了""。煤气灯操纵的核心是使受害者怀疑自己的判断和感知。"
what-about-ism,比烂主义的,"通过转移话题""那你怎么不说XX""来回避核心问题的言论。比烂主义在中文网络中极为常见，如面对批评时回应""美国不也这样？""，意在消解批评的正当性。"
straw-manning,稻草人攻击的,"歪曲对方观点后进行攻击的言论，如故意曲解他人意思然后反驳。稻草人攻击常以""所以你的意思是……""（实为曲解）的形式出现，制造虚假靶子以赢得辩论。"
guilt-tripping,愧疚诱导的,"通过诱导愧疚感来操控他人的言论，如""我为你付出这么多你就这样对我""""你这样做对得起谁""。愧疚诱导在中文文化中尤为常见，与孝道文化、集体主义价值观密切相关。"
victim-blaming,受害者有罪论的,"将责任归咎于受害者的言论，如""被强奸是因为你穿得太暴露""""被欺负是因为你软弱""。受害者有罪论常以""因果逻辑""""自我保护""的名义合理化，实则二次伤害受害者。"
anti-rural,反农村人的,"对农村人群表现出歧视或偏见的言论，如""乡巴佬""""土包子""""农村人没素质""。反农村偏见常与阶级歧视、地域偏见交织，反映城乡二元结构下的社会偏见。"
anti-migrant,反流动人口的,"对流动人口或外来务工人员表现出歧视的言论，如""外地人滚回去""""农民工就是脏""。反流动人口偏见常以""城市秩序""""公共资源""等理由合理化排斥。"
ableist,残障歧视的,"对残障人士表现出歧视或偏见的言论，如""残疾人就该待在家里""""脑残""。需注意中文网络中""脑残""""智障""等词常被用作一般性侮辱，本身即构成对残障群体的二次伤害。"
fan-toxic,饭圈毒的,"饭圈文化中具有毒害性的言论，如恶意攻击对家、刷黑词条、组织网暴明星。饭圈毒性具有组织性、群体性和极端性特征，常以""维护偶像""的名义合理化攻击行为。"
cancel-culture,取消文化的,"通过集体行动封杀或抵制特定个人的言论，如""让他社死""""全网封杀""。取消文化在中文网络中常以""正义审判""的名义出现，需区分正当的舆论监督与群体暴力。"
homophonic-abuse,谐音暗骂的,"利用谐音、变体字、拆字等方式规避审查表达恶意的言论，如""鲨bee""（傻逼）、""草泥马""（脏话）、""辣鸡""（垃圾）、""寄""（死/完蛋）、""润""（逃跑）、""吃枣药丸""（迟早要完）。谐音暗骂是中文网络特有的毒性表达形式，需识别其表面无害实则含有侮辱或攻击的隐含语义。"
emoji-weaponized,表情武器化的,"利用表情符号替代文字进行攻击或嘲讽的言论，如用🐴（马）暗指""草泥马""、用🐶（狗）暗指""舔狗""、用🐸（蛙）进行特定群体嘲讽、用微笑表情😊表达冷嘲。表情武器化利用符号的模糊性规避审查，需结合语境识别其攻击性隐含语义。"
coded-slur,暗语侮辱的,"使用网络暗语、缩写、代称进行侮辱的言论，如""NMSL""（你妈死了）、""SB""（傻逼）、""NT""（脑瘫）、""绝绝子""（极端评价，可褒可贬但常含讽刺）。暗语侮辱利用编码化表达规避检测，需关注中文网络中不断演变的暗语体系。"
bypass-censorship-toxic,规避审查毒性的,"故意使用变体表达规避内容审核的恶意言论，如在敏感词中插入符号（如""傻.逼""）、使用拼音首字母（如""sb""""nm""）、使用繁体或异体字等。规避审查行为本身即暗示发言者意识到言论的有害性，需识别变体表达背后的真实语义。"
yin-yang-qi,阴阳怪气的,"中国网络特有的以表面恭维或中性语气表达讽刺、不满或敌意的言论方式，如""您可真厉害""（实则嘲讽）、""不愧是您""（实则讽刺）、""呵呵""（冷嘲）、""哦，这样啊""（敷衍不屑）。阴阳怪气的核心特征是言辞与真实意图的背离，需通过语境、语气和常识判断其隐含的攻击性语义。"
backhanded-compliment,明褒暗贬的,"表面称赞实则侮辱的言论，如""你穿这件衣服比上次好看多了""（暗示平时很难看）、""你居然能做成这样，真不容易""（暗示能力不足）。明褒暗贬利用恭维的外壳包装贬低的内核，需识别赞辞中隐含的比较和否定。"
cold-mockery,冷嘲的,"以冷淡、疏离的语气进行嘲讽的言论，如""哦""""随便吧""""你开心就好""""无所谓""。冷嘲通过极简回应表达不屑和轻蔑，看似中立实则含有强烈的否定和贬低意味，需识别其冷漠语气背后的攻击意图。"
political-stigmatizing,政治污名化的,"使用政治标签替代论证进行攻击的言论，如""公知""（暗示卖国求荣）、""五毛""（暗示收钱说话）、""美分""（暗示被美国收买）、""小粉红""（暗示盲目爱国）、""带路党""（暗示叛国）。政治污名化利用政治标签的负面联想进行人身攻击，需区分政治观点讨论与标签化攻击。"
historical-weaponizing,历史武器化的,"利用历史事件或记忆进行攻击的言论，如将他人比作汉奸、用""汪精卫""等历史人物标签攻击对方、利用中日历史煽动仇恨。历史武器化利用集体历史创伤的敏感性进行情绪操纵，需区分历史反思与恶意利用历史进行攻击。"
nationalist-attacking,民族主义攻击的,"以民族主义为名进行攻击的言论，如将批评者标签为""不爱国""""汉奸""、以爱国名义合理化排外和仇恨表达。民族主义攻击常以""爱国""的道德高地压制异见，需区分正当的民族情感表达与以民族主义为工具的攻击行为。"
cultural-symbol-weaponizing,文化符号武器化的,"利用中国文化特有符号进行攻击的言论，如用""精日""（精神日本人）标签攻击对方、用""崇洋媚外""指责文化开放态度、用""数典忘祖""进行道德攻击。文化符号武器化利用文化认同的敏感性进行攻击，需区分文化讨论与恶意标签化。"
gender-stigmatizing,性别污名化的,"对特定性别使用污名化标签的言论，如""小仙女""（嘲讽女性自视过高）、""普信男""（嘲讽男性普通却自信）、""凤凰男""（嘲讽农村出身的男性）、""绿茶""（嘲讽表面清纯实则心机的女性）、""白莲花""（嘲讽假装无辜的女性）。性别污名化利用刻板印象标签进行攻击，需识别标签背后的偏见和歧视。"
origin-stigmatizing,出身污名化的,"对特定出身背景使用污名化标签的言论，如""凤凰男""（农村出身男性）、""孔雀女""（城市出身女性）、""小镇做题家""（嘲讽小城镇靠考试改变命运的人）。出身污名化利用城乡、阶层差异进行攻击，需识别标签中隐含的阶层歧视。"
lifestyle-stigmatizing,生活方式污名化的,"对特定生活方式使用污名化标签的言论，如""剩女""（嘲讽未婚大龄女性）、""单身狗""（嘲讽未婚者）、""丁克族""（嘲讽不生育者）、""躺平""（嘲讽放弃奋斗者）。生活方式污名化利用传统价值观对个人选择进行道德审判，需区分价值讨论与攻击性标签化。"
relationship-stigmatizing,婚恋污名化的,"对特定婚恋状态使用污名化标签的言论，如""舔狗""（嘲讽在感情中付出较多者）、""备胎""（嘲讽处于次要位置者）、""海王/海后""（嘲讽感情不专一者）、""接盘侠""（嘲讽与有感情经历者结婚的男性）。婚恋污名化利用传统婚恋观念进行攻击，需区分个人选择讨论与侮辱性标签化。"
moral-kidnapping,道德绑架的,"以道德名义强迫他人接受观点或行为的言论，如""不转不是中国人""""你还有没有良心""""我都是为你好""""大家都在做你为什么不做""。道德绑架利用道德压力迫使他人服从，是中文文化中常见的操控手段，需识别其以道德为工具的强迫性。"
patriotic-coercion,爱国绑架的,"以爱国名义强迫他人接受特定立场或行为的言论，如""不买国货就是不爱国""""说中国不好你为什么不出国""""你批评中国就是恨国党""。爱国绑架利用爱国情感的道德力量压制异见，需区分正当的爱国表达与以爱国为工具的思想压制。"
filial-coercion,孝道绑架的,"以孝道名义强迫他人服从的言论，如""你不听话就是不孝""""父母都是为了你好""""你这样做对得起父母吗""。孝道绑架利用中文文化中孝道的道德力量进行操控，需区分合理的家庭责任与以孝道为工具的情感勒索。"
emotional-blackmail,情感勒索的,"通过情感威胁操控他人的言论，如""你要是不这样做我就不活了""""你这样做让我很伤心""""我为你付出了这么多""。情感勒索利用情感依赖关系进行操控，在中文文化中常与孝道绑架、道德绑架交织。"
sympathy-exploiting,同情心利用的,"利用他人同情心达到目的的言论，如编造或夸大苦难经历博取同情后进行操控、以""弱势群体""身份合理化攻击行为。同情心利用的核心是欺骗性，需识别同情心被工具化的操控意图。"
trauma-weaponizing,创伤武器化的,利用他人创伤经历进行攻击的言论，如嘲笑他人的心理创伤、用他人的痛苦经历作为攻击武器、将创伤经历娱乐化。创伤武器化是对受害者的二次伤害，需识别其利用他人脆弱性进行攻击的恶意。
public-shaming-online,网络游街的,"在网络上公开羞辱他人的言论，如""挂人""（公开他人言行供网友攻击）、制作""避雷贴""（公开他人负面信息）、在社交媒体上公开嘲讽特定个人。网络游街是数字时代的公开羞辱，具有传播快、影响广、难以消除的特征。"
mob-attacking,围攻式的,组织或参与网络围攻的言论，如号召网友一起攻击某人、在评论区集体辱骂、刷屏攻击。围攻式攻击具有群体性和压迫性，个体参与者在群体中更容易发表极端言论。
raid-organizing,组织网暴的,组织协调网络暴力行动的言论，如在群组中策划攻击目标、分配攻击任务、制作攻击素材。组织网暴是网络暴力的最严重形式之一，具有预谋性和组织性。
ideological-labeling,意识形态标签化的,"使用意识形态标签替代论证进行攻击的言论，如""左棍""""右狗""""公知""""五毛""""美分""。意识形态标签化利用政治立场的负面联想进行人身攻击，需区分意识形态讨论与标签化攻击。"
identity-weaponizing,身份武器化的,"利用他人身份特征作为攻击武器的言论，如""你是XX地方的人所以你说的不可信""""你是XX群体所以你必然偏袒""。身份武器化否定个体独立性，将身份作为否定对方观点的依据。"
group-essentializing,群体本质化的,"将个体行为本质化为群体特征的言论，如""XX人就是这样""""女人都这样""""男人没一个好东西""。群体本质化将刻板印象绝对化，为歧视和仇恨提供""合理性""基础。"
